Track Name,Artist,Album,Popularity,Duration (minutes)
Stay With Me,CHANYEOL,"Guardian (Original Television Soundtrack), Pt. 1",72,3.20735
"Kannadi Poove (From ""Retro"")",Santhosh Narayanan,"Kannadi Poove (From ""Retro"")",75,4.350816666666667
"Yedi (From ""Nilavuku En Mel Ennadi Kobam"")",G. V. Prakash,"Yedi (From ""Nilavuku En Mel Ennadi Kobam"")",74,3.3602833333333333
"Hey Minnale (From ""Amaran"") (Tamil)",G. V. Prakash,"Hey Minnale (From ""Amaran"") (Tamil)",71,3.8301833333333333
Die With A Smile,Lady Gaga,Die With A Smile,99,4.19445
"Sawadeeka (From ""Vidaamuyarchi"")",Anirudh Ravichander,"Sawadeeka (From ""Vidaamuyarchi"")",74,3.4068833333333335

"Sithira Puthiri - From ""Think Indie""",Sai Abhyankkar,"Sithira Puthiri (From ""Think Indie"")",76,3.7744166666666668
"Golden Sparrow (From ""Nilavuku En Mel Ennadi Kobam"")",G. V. Prakash,"Golden Sparrow (From ""Nilavuku En Mel Ennadi Kobam"")",75,3.84
"Golden Sparrow (From ""Nilavuku En Mel Ennadi Kobam"")",G. V. Prakash,"Golden Sparrow (From ""Nilavuku En Mel Ennadi Kobam"")",75,3.84
